sub,erq_cog_reap_s,erq_exp_supp_s,income_s,tas_total_s,cesd_total_s,gad_total_s,irq_total_s,bfi_extraversion_s,bfi_neuroticism_s,ius_total_s,liberalism_s,age_s,covid_knowledge_s,covid_estimate_log_s,covid_behave1_s,covid_behave2_s,covid_media_facebook_s,covid_media_youtube_s,covid_media_twitter_s,covid_media_other_s,covid_media_govt_s,covid_media_online_s,covid_media_tv_s,covid_media_usa_s,covid_media_int_s,gender,covid_infect,education_s,household_num_s,social_events_s,covid_emo_distress_s
459,0.8417103772401497,2.0948304896925727,1.3376910646432385,-0.13069544010147108,-0.08518898757957603,-0.837035443597421,-1.8603983966721156,-0.14276912112670725,-0.9831104728040778,-0.03292891402164834,-1.3494901468037974,0.950548794936854,0.3774989585925452,1.6512871121214054,0.6902735072517786,0.6814540948470621,-0.8132272453139767,-0.7499221946305077,2.381634904214445,-0.8576379090924997,0.46116166353174076,1.2657454060175486,0.05533028710191937,0.9147990789274802,1.672425957744717,0,0,0.9730976095094768,-0.33181085535665694,0.10708560712701046,-1.199872656375485
460,0.6888773112329358,0.18236968053564004,-1.2943785270582766,0.6958507721479942,0.7465222402828134,-0.15576512762373126,0.602892566777618,-1.0560290862287223,1.667685642255403,-0.6039644718116952,-0.37167708697748353,0.4486857125386264,0.3774989585925452,-2.284896196658213,0.3628943295010011,-1.4733773991990178,1.4609303610507725,-0.7499221946305077,-0.7422528705282655,-0.8576379090924997,-1.981191727686641,-0.2426476108330308,1.4177487850920405,-1.234468645541545,-1.812101092677243,1,0,-1.33988993871029,-1.2396223730424023,0.10708560712701046,0.6697234677460774
461,0.07754504720408203,0.3736157614513333,-0.7679646087179736,1.1917784994976734,1.495062345358964,1.888045820297338,-0.39415377557108366,-2.15194104435114,1.8236148254941962,1.394659980453469,-0.33795939525933477,0.38595282723884794,0.9314757585085395,0.3131520310496689,0.0010541856711938106,0.6814540948470621,2.218982896505689,0.9014744151481714,-0.7422528705282655,-0.8576379090924997,-0.35295613354105315,-0.2426476108330308,0.05533028710191937,0.9147990789274802,-1.812101092677243,1,0,-1.33988993871029,-0.33181085535665694,0.4762389000593955,1.2470125530939582
462,-0.6866202828319865,-1.347598966789906,0.28486322796263247,-0.3786593037763107,-0.9169002154419655,-1.177670601584266,0.7788419213097418,1.1357948300161134,-0.5153229230876988,0.15741627190836763,-0.37167708697748353,0.5741514831381833,-0.7304546412394447,-0.08388279162805333,-0.20571161080298211,0.6814540948470621,1.4609303610507725,2.5528710249268505,0.8196910168430899,0.5903420335961732,-0.35295613354105315,-0.2426476108330308,0.7365395360969799,0.9147990789274802,0.801294195139227,0,0,-0.5688940893037011,0.5760006623290885,0.8453921929917806,-2.158113930023997
463,0.6888773112329358,0.7561079232827198,-1.2943785270582766,-1.3705147584756692,0.24749550356537975,0.35518760935653604,-0.15955463619491858,-0.8733770932083195,0.8880397260614382,-1.0798274366367342,-1.0123132296223099,-0.36684179635849345,0.9314757585085395,-0.14718007883202963,0.34566384646148623,0.6814540948470621,1.4609303610507725,1.7271727200375109,0.8196910168430899,0.5903420335961732,0.46116166353174076,-0.2426476108330308,-0.6258789618931412,-0.15983478330703232,-0.940969330071753,1,0,0.20210176010288783,0.12209490348621581,0.4762389000593955,-1.024048569467501
464,0.2303781132112951,0.3736157614513333,0.28486322796263247,-0.29600468255136414,1.411891222572725,1.206775504323648,1.013441060685907,1.501098816056919,-1.4508980225204569,0.2525888648733751,1.3479251906481027,0.3232199419390695,1.485452558424535,0.39137396548525943,0.6558125411727489,0.2504877960378461,2.218982896505689,0.9014744151481714,2.381634904214445,2.038321976284846,1.2752794606045348,1.2657454060175486,1.4177487850920405,0.9147990789274802,1.672425957744717,0,0,0.20210176010288783,-0.7857166141995297,-1.7386808575349146,1.0887708748767724
465,0.8417103772401497,0.7561079232827198,0.28486322796263247,0.44788690847315465,0.41383774913785765,1.0364579253302257,-0.04225506650683602,0.22253486491409835,0.8880397260614382,0.8236244226634221,-1.6866670639852848,0.8878159096370756,-1.8384082410714346,-1.8674253353498738,0.5179686768566324,-1.0424111003898018,-0.05517470985906033,-0.7499221946305077,-0.7422528705282655,-0.8576379090924997,-0.35295613354105315,-1.7510406276836101,0.7365395360969799,-0.15983478330703232,0.801294195139227,1,0,-1.33988993871029,-0.33181085535665694,0.8453921929917806,0.06019996646506646
466,-0.07528801880313184,0.9473540041984131,1.8641049829835414,-0.04804081887652456,0.08115325799290185,0.5255051883499585,-0.452803560415125,-1.0560290862287223,0.8880397260614382,0.5381066437683986,1.1119013486210616,-0.9941706493562779,0.9314757585085395,0.4342352140586183,-0.7053956189489059,0.2504877960378461,1.4609303610507725,0.07577611025883182,-0.7422528705282655,0.5903420335961732,-0.35295613354105315,1.2657454060175486,0.7365395360969799,0.9147990789274802,0.801294195139227,0,0,1.7440934589160657,-0.33181085535665694,0.4762389000593955,0.0015919374957386915
467,-0.07528801880313184,0.18236968053564004,0.28486322796263247,0.1172684235733685,-1.3327558293731603,-1.177670601584266,0.4269432122454942,0.40518685793450165,-0.6712521063264919,-0.6991370647767028,0.6735713562851278,1.0760145655364108,-0.7304546412394447,-0.6774840934278321,0.0010541856711938106,0.6814540948470621,-0.8132272453139767,-0.7499221946305077,-0.7422528705282655,-0.8576379090924997,-0.35295613354105315,-0.2426476108330308,-0.6258789618931412,-1.234468645541545,-0.940969330071753,0,0,2.12959138361936,-0.7857166141995297,-0.6312209787377596,-1.346392728798805
468,-0.07528801880313184,-0.20012248129574647,0.28486322796263247,-0.04804081887652456,0.24749550356537975,0.6958227673433809,0.01639471833720526,0.5878388509549044,1.8236148254941962,0.6332792367334066,1.3479251906481027,-1.1823693052556132,-0.7304546412394447,-0.338235166555083,0.6730430242122638,-0.6114448015805859,0.7028778255958561,-0.7499221946305077,0.8196910168430899,-0.13364793774816322,0.46116166353174076,0.5115488975922589,-1.3070882108882016,-1.234468645541545,-0.940969330071753,1,0,-0.1833961646004066,-0.33181085535665694,0.10708560712701046,0.6550714605037457
