sub,covid_emo_distress_1_1,covid_emo_distress_1_2,covid_emo_distress_1_3,covid_emo_distress_1_4,covid_emo_distress_1_5,covid_emo_distress_1_6,covid_emo_distress_1_7,covid_emo_distress_1_8,covid_emo_distress_2_1,covid_emo_distress_2_2,covid_emo_distress_2_3,covid_emo_distress_2_4,covid_emo_distress_2_5,covid_emo_distress_2_6,covid_emo_distress_2_7
526,83,30,84,83,93,24,73,96,78,86,86,92,90,39,77
527,5,10,10,20,31,41,0,12,20,5,0,0,14,0,1
528,100,0,77,84,100,51,0,100,100,100,80,100,100,50,100
529,100,51,55,90,51,0,51,51,0,21,9,23,0,0,2
530,80,41,50,50,75,75,0,0,70,62,40,75,80,44,0
531,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0
532,100,0,51,100,51,100,100,100,54,51,76,77,77,100,100
533,60,93,61,78,97,19,0,37,82,56,35,60,81,29,22
534,100,18,98,100,100,100,100,96,94,99,100,99,100,18,84
535,70,40,50,60,40,55,0,80,20,40,19,20,15,40,20
536,50,90,75,40,10,10,20,60,85,56,0,20,100,40,0
537,100,14,100,100,100,0,0,72,80,92,38,100,86,0,51
538,80,30,59,100,36,0,40,100,70,45,30,70,15,55,15
539,51,50,51,100,51,26,0,0,51,51,29,35,48,0,0
541,75,45,75,90,80,10,0,10,60,59,33,60,75,33,10
542,0,100,0,18,0,0,0,0,10,0,0,0,0,26,0
543,90,50,75,100,100,85,0,100,100,100,80,100,100,70,50
544,9,100,0,64,0,0,0,0,100,11,0,18,3,0,0
545,90,15,61,76,89,10,0,0,80,80,60,92,78,8,79
546,90,65,65,90,85,60,0,65,75,65,65,80,80,70,10
547,100,36,100,100,100,10,0,90,100,100,42,100,100,13,0
548,75,51,22,32,20,0,0,0,81,72,0,73,49,19,0
550,19,90,19,19,3,4,0,6,51,17,17,17,0,84,0
551,81,38,30,58,9,0,0,0,30,0,0,0,24,49,1
552,66,57,65,67,73,11,1,69,30,42,10,28,65,51,5
553,70,50,54,59,59,59,90,100,50,56,40,55,56,26,30
554,100,0,100,100,100,100,100,100,80,100,80,100,90,0,75
555,100,1,2,86,0,100,1,100,88,100,97,100,100,57,4
556,66,60,71,80,59,51,51,74,67,71,51,65,66,72,70
557,30,70,40,70,20,10,0,20,25,20,20,20,20,20,0
558,13,67,7,43,54,12,1,51,22,11,7,6,3,49,5
559,88,80,65,90,0,3,95,100,25,93,8,86,64,86,0
560,20,80,40,60,51,10,10,10,60,10,0,10,0,0,0
561,93,61,63,77,59,5,80,85,41,64,16,29,60,20,84
562,81,25,60,82,82,31,100,100,60,59,11,69,89,55,51
563,68,17,54,88,44,40,73,57,66,52,43,55,65,38,76
564,99,32,73,100,100,100,51,100,99,100,100,100,100,0,51
565,5,94,65,75,5,5,75,75,10,10,10,5,15,95,5
567,51,76,19,51,19,20,20,51,20,20,20,19,18,51,1
568,20,90,20,95,15,10,0,65,52,25,5,70,85,35,0
569,88,35,77,83,73,68,61,65,80,88,66,95,80,29,78
570,59,56,42,55,33,33,3,4,75,35,9,40,58,46,6
572,20,80,12,15,10,30,5,30,15,5,0,0,15,75,0
573,60,53,33,73,7,4,0,0,10,15,6,10,10,76,0
574,20,86,25,25,26,8,10,15,51,20,5,12,66,51,3
575,90,15,75,100,90,90,0,50,75,85,50,100,70,66,75
576,77,21,66,73,29,6,100,100,60,69,16,89,41,0,38
577,56,38,63,77,38,41,55,61,60,69,45,59,56,59,65
578,28,81,12,0,0,0,0,0,20,0,0,0,63,91,0
579,10,91,20,50,31,10,0,50,31,5,0,10,15,70,1
580,92,52,68,92,74,62,19,18,87,67,51,68,79,47,38
581,38,64,63,83,24,20,75,34,17,21,21,15,14,87,67
582,13,98,12,74,0,1,1,60,74,11,0,25,5,8,0
583,95,10,95,85,100,10,0,20,75,100,95,100,90,10,0
584,20,100,0,50,0,76,0,0,25,9,0,10,0,100,0
586,60,91,60,81,15,82,0,0,30,61,30,30,71,71,15
587,80,88,70,70,12,0,0,0,0,63,0,85,5,50,0
588,60,52,17,26,54,55,53,53,65,54,30,72,64,52,61
589,20,91,6,29,8,43,68,9,70,42,2,16,47,54,51
590,30,70,39,38,19,20,0,0,60,15,10,20,55,70,0
591,91,19,90,100,80,85,20,40,75,75,65,90,95,30,30
592,98,30,100,100,100,85,0,0,81,100,90,100,100,75,75
593,40,60,60,60,80,10,10,60,60,40,40,60,60,40,70
594,3,89,4,2,2,2,3,2,3,3,2,3,17,51,3
595,89,53,65,71,78,72,59,77,87,54,41,81,86,18,47
596,100,40,100,100,51,65,80,100,51,100,84,100,51,19,51
597,95,20,85,100,85,10,50,100,100,85,65,75,100,0,0
598,60,29,51,51,63,63,63,64,61,62,62,63,64,51,65
599,49,51,51,28,36,17,30,49,51,51,51,35,35,57,48
600,90,30,80,100,91,76,0,35,100,81,18,65,100,76,0
601,40,85,60,100,10,0,60,60,31,10,0,10,10,100,0
602,100,29,0,100,74,74,0,100,100,100,79,79,100,26,51
603,100,1,100,100,100,100,99,72,100,99,99,100,99,2,99
604,100,0,100,100,100,100,100,100,100,100,100,100,100,15,100
605,80,60,56,71,80,55,0,0,45,60,50,50,55,40,10
606,66,40,66,80,75,34,34,88,41,69,38,68,61,14,37
607,100,10,60,75,50,80,25,70,75,90,85,85,95,5,70
608,10,10,10,100,100,10,51,75,90,10,5,75,75,100,0
609,5,100,5,5,0,0,0,0,0,0,0,0,0,90,0
610,10,91,20,0,80,0,0,0,30,25,0,30,6,70,0
611,80,40,71,92,92,7,8,41,74,80,40,80,69,3,60
612,50,100,0,70,50,0,0,75,10,10,0,0,15,56,0
613,22,70,15,22,1,12,1,8,65,32,1,4,67,54,19
614,91,17,91,100,84,99,90,100,100,100,89,100,100,86,92
615,80,40,80,80,80,90,0,53,82,71,59,73,73,63,51
616,82,12,72,89,18,95,95,98,90,74,69,68,80,56,82
617,73,70,72,72,72,65,82,100,61,55,12,57,54,96,82
618,25,80,25,50,30,10,5,5,50,30,20,30,30,50,20
619,92,20,34,96,81,15,62,29,71,93,82,95,76,21,63
620,19,33,90,90,70,60,0,0,30,51,0,82,60,40,0
621,94,11,29,65,93,55,81,82,74,82,57,67,77,29,65
622,82,34,11,11,11,77,73,78,33,33,15,36,45,44,25
623,80,61,76,93,63,77,99,99,72,73,64,74,76,84,18
624,100,0,40,86,80,41,65,75,74,83,81,83,77,14,66
625,71,31,72,97,69,28,64,63,60,52,29,61,64,13,28
626,95,14,84,90,79,74,4,71,84,78,68,85,90,86,78
627,95,5,100,100,25,0,0,15,70,100,80,90,75,20,0
628,81,24,72,72,71,71,100,95,95,86,72,92,93,7,88
629,0,100,1,68,1,2,7,15,1,2,2,3,4,51,2
630,91,11,83,84,82,72,81,60,89,89,83,89,82,13,60
631,97,22,89,75,79,75,14,67,65,83,71,89,77,38,63
632,10,20,70,10,10,40,0,0,20,9,10,11,17,30,0
633,90,100,75,100,10,0,0,0,51,65,0,95,0,95,0
634,85,16,35,90,80,20,0,65,55,65,40,65,55,35,15
635,100,5,100,100,100,8,100,100,100,100,87,100,100,0,81
636,60,95,20,100,70,0,80,70,70,45,45,45,70,60,25
637,100,30,51,70,76,83,0,51,100,100,100,100,100,51,100
638,20,100,0,80,20,80,80,100,75,20,0,10,80,80,0
639,57,41,74,74,86,62,65,100,78,80,100,80,87,70,68
640,70,54,30,70,35,0,75,100,70,40,25,55,40,40,95
641,66,64,68,79,18,19,15,23,45,28,35,51,32,63,13
642,82,29,77,86,65,75,9,16,67,76,58,81,73,28,24
646,15,69,42,74,24,82,26,41,40,45,19,39,37,54,9
648,75,70,40,60,70,10,0,60,40,20,5,40,40,80,0
649,10,100,5,6,27,0,0,6,30,0,0,5,32,5,0
650,73,3,26,87,79,78,3,75,27,92,15,78,82,90,0
651,85,22,74,69,71,78,74,77,80,83,77,75,34,34,36
652,100,18,20,100,100,100,100,100,95,100,100,100,100,4,72
653,39,79,22,87,37,100,98,97,63,25,21,35,90,72,66
654,77,9,60,87,76,60,12,74,74,76,100,68,92,9,74
655,100,5,100,100,57,100,16,67,100,100,100,100,100,17,75
657,20,90,19,20,90,0,100,20,60,15,15,15,60,90,60
658,40,60,30,75,100,100,64,85,60,60,30,50,0,30,50
